trial_id,stim_id,param_id,sample_n_mean,sample_n_std
12,27,0,39.1,63.94644140545315
11,11,0,26.5,34.486458059268486
10,42,0,24.2,42.015786506853274
9,0,0,29.9,25.49282664841849
17,12,0,27.9,32.92719240992162
19,0,0,21.25,24.86992476656769
13,17,0,18.6,18.869078018365336
1,4,0,18.85,24.55986242032441
14,45,0,22.65,22.923844171057947
7,19,0,32.65,28.22704004095513
1,0,0,17.4,17.30956535074116
14,36,0,14.85,20.813141091754105
13,9,0,18.5,24.243284474370697
1,16,0,46.35,42.89187752820733
0,42,0,19.9,25.50521102586066
4,42,0,28.2,37.05415666717824
10,45,0,12.55,13.14884425579518
14,42,0,25.0,29.919189406413437
11,14,0,22.35,20.186694419318563
12,38,0,36.9,42.82879012017378
19,14,0,19.5,14.894364882839346
5,15,0,41.5,43.55456348076514
9,19,0,22.55,32.50663899801652
2,30,0,32.25,53.16991135674584
12,46,0,41.45,55.67998317452861
3,18,0,28.0,29.742756747607785
14,37,0,28.45,40.431195616100304
1,3,0,33.25,35.3536642930739
12,35,0,13.3,19.142402643016588
4,43,0,24.05,29.22773556599603
7,4,0,20.9,24.81065136292539
5,22,0,22.25,27.59075932264279
18,30,0,37.2,50.63450040811055
4,46,0,19.4,19.378229781734042
4,46,0,31.8,36.997297198579254
2,28,0,10.85,11.268376803669359
19,2,0,27.95,27.06614704366829
0,46,0,36.0,37.131345815971486
5,19,0,30.1,31.78695528539639
14,30,0,30.35,34.27485652010354
14,35,0,21.2,18.861266352529267
12,32,0,31.0,39.345968829829246
13,4,0,16.7,25.079032970528228
0,37,0,23.35,31.20100369505679
1,11,0,30.25,38.318437227775185
12,36,0,22.5,21.16725375619018
14,37,0,41.05,36.49437591854683
4,42,0,19.6,25.84854673711953
17,5,0,27.2,20.361470322258423
6,36,0,28.1,31.23409068714233
17,2,0,25.8,33.11002392343634
19,3,0,23.55,23.895551226557895
6,33,0,45.35,43.093869389361736
15,20,0,32.65,34.127123030161655
9,20,0,35.25,45.49595123686687
18,41,0,30.8,38.344147978675
5,1,0,39.25,59.03422290234886
13,12,0,22.45,25.232549988999693
19,15,0,36.4,44.05427274815033
14,41,0,23.5,34.16754384838891
6,45,0,17.6,13.132522906689973
3,19,0,27.05,42.644768914715364
14,32,0,43.45,104.62337214982128
6,35,0,51.65,57.223729895541545
15,5,0,27.15,26.66611293284735
8,46,0,21.85,22.295326392483435
7,18,0,37.45,41.185683511577054
10,32,0,21.3,33.609365862571856
19,4,0,13.85,9.653333212174081
19,22,0,31.45,37.904971205704186
9,8,0,19.45,19.52454595469104
4,40,0,31.35,34.17951833604754
0,34,0,27.65,39.11423889340717
13,9,0,20.75,19.536403267530567
11,1,0,24.6,30.58964393041334
14,42,0,24.6,37.7713341597901
1,8,0,34.6,33.13354159982552
3,15,0,30.35,33.04745391896803
5,23,0,18.45,16.73154914651077
13,17,0,23.15,25.809575946270712
17,6,0,39.15,49.899135104834485
15,2,0,17.7,28.209927330640184
15,15,0,22.15,19.34799051173287
2,29,0,40.75,58.47525342534134
4,29,0,32.3,38.04720060246497
19,13,0,28.35,31.7859204183567
19,16,0,27.9,24.317851359378817
4,24,0,15.35,16.027197279361694
3,19,0,21.2,24.571271200755014
7,23,0,21.55,30.754503307389154
3,19,0,34.0,24.67899170507068
12,31,0,28.55,32.11078684147972
3,18,0,26.85,26.596942839752327
6,26,0,31.0,27.512676504132646
8,30,0,20.6,21.22411736432724
8,31,0,34.8,34.53846063677266
13,13,0,19.35,15.536967800090617
15,1,0,29.6,39.90304038013829
7,9,0,37.35,47.234326278114395
3,12,0,29.35,26.594963907912298
7,5,0,37.45,46.62670908395745
2,26,0,46.0,60.75056854834667
5,11,0,37.9,32.367787755892834
12,31,0,23.5,26.412716235695417
7,1,0,24.85,21.825323292957314
0,24,0,24.3,32.58688790231272
1,1,0,41.4,43.61602795689725
2,45,0,29.85,34.76730920669134
8,33,0,36.75,36.119501949122046
1,11,0,30.65,29.524788871298252
6,26,0,51.35,64.18909154742892
9,15,0,22.85,23.288296134369844
3,21,0,18.95,18.821809857603746
2,26,0,27.95,25.00626237354829
3,9,0,29.75,55.220014487502624
1,16,0,57.8,61.845818477548626
6,38,0,27.65,43.142694691722234
14,28,0,40.25,62.949332173206024
1,1,0,25.35,32.645262411179004
15,15,0,57.5,61.479564426769194
5,1,0,33.1,41.463871401244575
7,1,0,23.95,30.72368364701904
12,44,0,26.9,39.841660290917126
14,34,0,36.7,63.35289633224522
13,21,0,32.25,35.020107006359105
18,30,0,28.25,33.27536626394967
19,15,0,33.35,35.22450552489962
0,46,0,34.3,29.670293490113536
8,45,0,27.35,28.61408376086301
10,47,0,13.8,14.894718244362576
14,36,0,48.9,47.24839178549667
7,7,0,24.35,27.388578103405
9,1,0,39.4,51.68467145254863
2,35,0,33.35,44.15078827453886
2,30,0,28.2,37.06835790663968
9,23,0,38.05,50.02365230042369
16,29,0,35.4,36.19886593163993
3,1,0,38.95,30.45181698839557
4,40,0,17.35,17.688161369446483
12,33,0,27.35,35.63155756821251
18,45,0,19.75,20.89793492693779
14,24,0,24.25,35.613236746734316
2,34,0,25.45,38.2367624152464
2,29,0,27.0,28.910023757932308
13,23,0,41.4,35.543005826152275
10,46,0,30.35,34.15333073069155
8,33,0,35.45,33.11936148634448
18,40,0,21.55,24.83731276251837
5,5,0,34.7,41.500919457157494
14,47,0,21.9,19.40130218093078
19,14,0,20.4,22.122624760995006
5,13,0,30.85,31.875208977643126
0,44,0,33.7,52.95489639902601
7,23,0,15.55,25.4754267564069
12,25,0,28.1,49.45800983503184
10,38,0,27.95,29.27811289575956
4,31,0,43.5,48.90538663690599
0,47,0,23.25,34.007545602332684
4,32,0,37.35,46.84945093201818
14,37,0,21.05,28.18076051418582
5,11,0,28.9,30.230517867319374
10,39,0,36.2,43.38275184788001
12,27,0,29.8,29.974726196019134
9,18,0,25.65,28.249406141871745
7,16,0,27.55,40.79792951402778
18,26,0,35.6,41.19069900123724
0,35,0,40.6,46.99316859647626
0,37,0,42.9,55.52230466929011
6,32,0,38.75,50.506773907331635
19,2,0,26.05,22.474488460896
5,11,0,25.95,24.349375870094864
8,40,0,37.45,36.68281542314359
12,41,0,30.8,33.788194761827064
16,40,0,36.65,44.16032394045945
2,27,0,30.2,33.65709434874021
17,11,0,19.8,15.810056759444038
13,3,0,28.1,40.72487924443342
15,22,0,19.25,27.831967610153463
10,27,0,18.4,20.863970455258382
19,16,0,26.95,38.92972751266731
14,42,0,30.5,29.30331398538936
5,6,0,37.35,36.02378600167862
2,38,0,23.65,34.90479532732007
5,17,0,30.7,40.670822335842736
8,42,0,22.8,29.430739390178964
12,29,0,27.0,26.45552374915502
2,28,0,22.25,21.385865966986113
5,21,0,22.05,24.709842488155882
14,46,0,28.95,30.694547775751552
5,3,0,18.8,16.414371110321845
7,5,0,19.7,17.23246629872933
8,41,0,34.85,48.600709329889625
18,29,0,16.15,25.744237985881117
5,18,0,21.75,19.78802136328148
16,30,0,31.9,37.400956925556976
0,39,0,14.6,15.111515302471892
15,14,0,23.25,31.902606724051147
16,37,0,16.0,19.08430051942668
8,45,0,24.95,29.34096292324364
16,41,0,26.7,33.97227972146827
13,9,0,34.3,31.42761105846427
4,39,0,26.85,33.18730733911765
15,11,0,34.65,45.47327150153848
19,3,0,48.65,54.471890384906445
19,11,0,38.45,43.25989390940102
14,33,0,24.2,24.690931640243104
12,28,0,16.9,16.12418908609703
19,5,0,41.4,42.94231136377219
4,40,0,57.7,58.588754085260746
12,36,0,15.6,17.144586378949572
11,10,0,23.2,20.970154229786978
14,33,0,28.85,27.57244047385379
16,32,0,24.8,22.81642990663111
5,10,0,27.0,23.017156072899414
15,13,0,29.9,32.093449077408465
5,11,0,30.0,42.428887875076214
2,25,0,33.55,29.71350038725087
12,34,0,29.0,39.70682030769233
8,43,0,38.4,48.29558114253039
9,8,0,40.45,69.25655963612095
8,28,0,24.15,27.087140083344654
19,13,0,31.6,36.91013268381518
17,23,0,23.0,22.159707389289853
3,23,0,42.3,41.14812779523063
9,20,0,34.9,39.84562314998382
12,45,0,28.4,32.50004048580474
2,24,0,26.85,21.75285825139453
10,24,0,29.55,40.94601709311266
4,45,0,23.6,23.36078585556303
6,30,0,42.5,44.8852337693179
19,2,0,26.3,22.297273847998362
10,26,0,25.4,29.178939773675626
5,4,0,38.8,45.94917100220061
10,39,0,22.3,31.92441731735493
5,21,0,29.1,37.22463813404405
19,19,0,34.45,35.04354434129059
15,0,0,23.3,30.75215011738375
19,11,0,38.75,57.133154721414186
15,10,0,26.2,25.025460719246034
3,5,0,19.55,24.403353954129468
11,13,0,23.4,27.734455105518116
1,15,0,44.15,45.41536373473072
17,16,0,27.45,27.15351096810018
12,28,0,25.85,33.43379160449248
17,22,0,16.7,18.884970353780222
3,16,0,25.85,28.039962084214924
4,36,0,30.6,24.875267784858536
3,14,0,36.8,32.289154118437516
19,19,0,32.7,31.682802906308655
3,1,0,33.9,42.15747420777184
5,9,0,27.35,22.7602492817724
0,39,0,33.95,47.00109181262651
6,37,0,29.0,26.72471751610837
16,27,0,24.95,31.14900522192947
